iter	Logloss
0	0.6881996258
1	0.6829862441
2	0.6795408924
3	0.675301133
4	0.6712239482
5	0.6666095004
6	0.6624572459
7	0.6578742555
8	0.653841336
9	0.6498224571
10	0.6459972611
11	0.6424265311
12	0.6385163208
13	0.6347624568
14	0.6309701173
15	0.6271440817
16	0.6235522614
17	0.6210126453
18	0.6174082914
19	0.6143154146
20	0.6107916649
21	0.6077254462
22	0.6048305554
23	0.6015592577
24	0.5985996745
25	0.5955557606
26	0.5926810369
27	0.5898953769
28	0.5870989971
29	0.5841835911
30	0.581795823
31	0.5792282161
32	0.5768574067
33	0.5743198273
34	0.5719762844
35	0.5696398978
36	0.5672878241
37	0.5649787871
38	0.5626504748
39	0.5604005078
40	0.5585092896
41	0.5565073344
42	0.5546130327
43	0.552545428
44	0.5507502288
45	0.5487623587
46	0.5466296027
47	0.5447253635
48	0.5431939194
49	0.5413992558
50	0.5397612653
51	0.5381152757
52	0.5364790098
53	0.534728928
54	0.5332914501
55	0.5318639185
56	0.5301353821
57	0.5286619917
58	0.5270043118
59	0.5255188109
60	0.5242047792
61	0.5227355519
62	0.5211950909
63	0.5204899577
64	0.5191678769
65	0.5177079393
66	0.5166469181
67	0.5153388225
68	0.5139351919
69	0.5128174529
70	0.5118565623
71	0.5106944321
72	0.5095374742
73	0.5084564091
74	0.507287638
75	0.5061452421
76	0.5050729113
77	0.5040856563
78	0.502933811
79	0.5018720819
80	0.5010532823
81	0.5001964211
82	0.4993204725
83	0.4982155752
84	0.4971694656
85	0.4962501169
86	0.4954063318
87	0.4944962677
88	0.4937463345
89	0.4927080238
90	0.4918837154
91	0.4910525499
92	0.4903757175
93	0.4895785905
94	0.488698096
95	0.4878396265
96	0.4868921004
97	0.4861438367
98	0.4856996115
99	0.484980574
100	0.4842204019
101	0.4834888027
102	0.4827623982
103	0.4823145095
104	0.4815781803
105	0.4808671238
106	0.4801514115
107	0.4795736524
108	0.4787789841
109	0.4779959497
110	0.4773410266
111	0.4766369695
112	0.4758691076
113	0.4751970933
114	0.4746230455
115	0.474103622
116	0.4735433226
117	0.4729365848
118	0.4721496142
119	0.4716777214
120	0.4710783735
121	0.4704353913
122	0.4698241881
123	0.4693829039
124	0.4688274966
125	0.468326457
126	0.4677585461
127	0.4673136253
128	0.4665755159
129	0.4660360589
130	0.465589522
131	0.465042142
132	0.4645611096
133	0.4640480785
134	0.4636103957
135	0.4631584059
136	0.4626769617
137	0.4621301418
138	0.4616517445
139	0.4611297403
140	0.4606866033
141	0.4602789005
142	0.4595991179
143	0.4590011089
144	0.45838082
145	0.4579921515
146	0.4577310774
147	0.4572337642
148	0.4568008814
149	0.4562384668
150	0.4557920068
151	0.4552976743
152	0.4548141768
153	0.4542943497
154	0.4537923519
155	0.4534388741
156	0.453313603
157	0.4530017201
158	0.4525355473
159	0.4521074743
160	0.4516687031
161	0.4512819252
162	0.4507437201
163	0.4503289806
164	0.4499098643
165	0.4495028203
166	0.449098105
167	0.4487611586
168	0.4482976687
169	0.4479339611
170	0.4476188323
171	0.4471767556
172	0.4468196233
173	0.4463687868
174	0.4460331919
175	0.4457328212
176	0.4454733876
177	0.4452497555
178	0.4448406915
179	0.4445981221
180	0.4442461828
181	0.4438364674
182	0.4434829278
183	0.442941958
184	0.4427175288
185	0.4424013536
186	0.4420815309
187	0.4417725948
188	0.4413412456
189	0.4409919901
190	0.4407462559
191	0.4403748637
192	0.4401652159
193	0.4399007666
194	0.4396145785
195	0.4392376636
196	0.438873078
197	0.4386598173
198	0.4383255462
199	0.4380375201
200	0.4375705322
201	0.4372617708
202	0.4369205951
203	0.4366020934
204	0.4363069234
205	0.435934954
206	0.4355820856
207	0.4353351452
208	0.435104917
209	0.4348670732
210	0.4346574467
211	0.434346658
212	0.4341798624
213	0.4339730968
214	0.4337793783
215	0.4332407413
216	0.4328429945
217	0.4324976622
218	0.4323122297
219	0.4320604941
220	0.4317968056
221	0.4314144998
222	0.4311530556
223	0.4309123468
224	0.4307107074
225	0.4304292871
226	0.4302139095
227	0.4299741882
228	0.4297629236
229	0.4293632928
230	0.4290984134
231	0.4287975115
232	0.4285748657
233	0.4283650173
234	0.428005781
235	0.4277700446
236	0.427480422
237	0.4270363955
238	0.4267702942
239	0.4263373768
240	0.4260767667
241	0.4258288218
242	0.4254701928
243	0.4252149139
244	0.4250029438
245	0.4248692047
246	0.424734627
247	0.4244735606
248	0.4241771088
249	0.4239584607
250	0.4237788204
251	0.4235190756
252	0.4233074029
253	0.4230777091
254	0.4227510675
255	0.4224933265
